indice_sistema,area,cobertura,territorio,año,geo
187,12.953208233459444,13,ANP,2012,
188,12.958549056457493,13,ANP,2013,
189,13.067586568481412,13,ANP,2014,
190,13.046138098327605,13,ANP,2015,
191,13.028336404235862,13,ANP,2016,
192,13.363571337463442,13,ANP,2017,
193,13.437745795288151,13,ANP,2018,
194,13.25727693536384,13,ANP,2019,
195,13.11156216741954,13,ANP,2020,
196,13.073150513366803,13,ANP,2021,
197,13.427031672119238,13,ANP,2022,
198,13.536937364379977,13,ANP,2023,
199,14.194764795715349,13,ANP,2024,
200,66.44636285168454,15,ANP,1985,
201,67.4144193668823,15,ANP,1986,
202,68.22415387420652,15,ANP,1987,
203,70.66571584222409,15,ANP,1988,
204,71.77404859057617,15,ANP,1989,
205,70.93479810534666,15,ANP,1990,
206,69.9662982734985,15,ANP,1991,
207,70.04848301513667,15,ANP,1992,
208,69.83220826470942,15,ANP,1993,
209,70.18180201031494,15,ANP,1994,
210,71.95854080078124,15,ANP,1995,
211,73.43863517340084,15,ANP,1996,
212,73.9282394072265,15,ANP,1997,
213,74.01751673272699,15,ANP,1998,
214,74.21396650518793,15,ANP,1999,
215,75.13351778710933,15,ANP,2000,
216,75.62941175488275,15,ANP,2001,
217,76.36384625311274,15,ANP,2002,
218,76.84180434063715,15,ANP,2003,
219,75.98836993640131,15,ANP,2004,
220,74.73641777142328,15,ANP,2005,
221,74.60426502990717,15,ANP,2006,
222,74.35493280487059,15,ANP,2007,
223,74.59170423370357,15,ANP,2008,
224,74.61311059698482,15,ANP,2009,
225,74.33712945507808,15,ANP,2010,
226,74.16920048840329,15,ANP,2011,
227,73.80469410900875,15,ANP,2012,
228,73.10782491687009,15,ANP,2013,
229,73.02484706237789,15,ANP,2014,
230,72.48705472888182,15,ANP,2015,
231,71.52931996490477,15,ANP,2016,
232,70.89752550659176,15,ANP,2017,
233,69.89650814141841,15,ANP,2018,
234,69.01353250970452,15,ANP,2019,
235,68.8820115646972,15,ANP,2020,
236,68.31713867864983,15,ANP,2021,
237,68.48082822601312,15,ANP,2022,
238,68.35058839819328,15,ANP,2023,
239,68.57586532293693,15,ANP,2024,
240,0.0705159619750974,18,ANP,1985,
241,0.0500043451538083,18,ANP,1986,
242,0.0901751813354489,18,ANP,1987,
243,0.0964149628906249,18,ANP,1988,
244,0.0714271266479491,18,ANP,1989,
245,0.0723191286010741,18,ANP,1990,
246,0.0866090866088865,18,ANP,1991,
247,0.0955291065673826,18,ANP,1992,
248,0.0678637451171873,18,ANP,1993,
249,0.0669681424560545,18,ANP,1994,
250,0.0910578320922849,18,ANP,1995,
251,0.0321478446044919,18,ANP,1996,
252,0.0321489304199217,18,ANP,1997,
253,0.0616173928222655,18,ANP,1998,
254,0.063405026611328,18,ANP,1999,
255,0.0625140026245116,18,ANP,2000,
256,0.0544763126220703,18,ANP,2001,
257,0.0517976870117187,18,ANP,2002,
258,0.0526846857910156,18,ANP,2003,
259,0.0455458101196288,18,ANP,2004,
260,0.0634192388305662,18,ANP,2005,
261,0.0500173449096678,18,ANP,2006,
262,0.0446517999877926,18,ANP,2007,
263,0.040182249694824,18,ANP,2008,
264,0.036624348144531,18,ANP,2009,
265,0.0348387055664061,18,ANP,2010,
266,0.055368513000488,18,ANP,2011,
267,0.0392974081420896,18,ANP,2012,
268,0.0491398846435544,18,ANP,2013,
269,0.082184981689453,18,ANP,2014,
270,0.1760097201538085,18,ANP,2015,
271,0.2108310815429684,18,ANP,2016,
272,0.1348520763549802,18,ANP,2017,
273,0.0553775969238279,18,ANP,2018,
274,0.0526930290527341,18,ANP,2019,
275,0.050903334411621,18,ANP,2020,
276,0.0625182955322263,18,ANP,2021,
277,0.0402007075195311,18,ANP,2022,
278,0.0669746747436522,18,ANP,2023,
279,0.0491137306518553,18,ANP,2024,
280,13.455203607421865,21,ANP,1985,
281,11.949778842773451,21,ANP,1986,
282,11.79052197631836,21,ANP,1987,
283,12.296426643554696,21,ANP,1988,
284,12.318348727111823,21,ANP,1989,
285,12.360970333801276,21,ANP,1990,
286,13.803640807983411,21,ANP,1991,
287,13.45446266992189,21,ANP,1992,
288,14.567051368408208,21,ANP,1993,
289,14.389826074890143,21,ANP,1994,
290,13.66147901446534,21,ANP,1995,
291,13.298723351501453,21,ANP,1996,
292,13.176828252380364,21,ANP,1997,
293,12.997738714294451,21,ANP,1998,
294,13.52542904382326,21,ANP,1999,
295,13.221326699218777,21,ANP,2000,
296,13.216721073486347,21,ANP,2001,
297,12.844086886901865,21,ANP,2002,
298,12.610858036987317,21,ANP,2003,
299,12.405310413085946,21,ANP,2004,
300,12.785919039916996,21,ANP,2005,
301,12.524195101501476,21,ANP,2006,
302,12.202385480102546,21,ANP,2007,
303,12.370826213562006,21,ANP,2008,
304,12.14007071563721,21,ANP,2009,
305,12.841432307922378,21,ANP,2010,
306,13.72887732092285,21,ANP,2011,
307,14.467993722290045,21,ANP,2012,
308,14.754931243896497,21,ANP,2013,
309,15.345895208129892,21,ANP,2014,
310,16.004639408752453,21,ANP,2015,
311,16.321568645019532,21,ANP,2016,
312,16.41174795983887,21,ANP,2017,
313,16.657392866638183,21,ANP,2018,
314,17.523344304016113,21,ANP,2019,
315,16.821003439453126,21,ANP,2020,
316,15.22840490527344,21,ANP,2021,
317,14.446372002746584,21,ANP,2022,
318,14.606675198486336,21,ANP,2023,
319,13.765038629150403,21,ANP,2024,
320,0.2788027173461905,23,ANP,1985,
321,0.2788027173461905,23,ANP,1986,
322,0.283259125732421,23,ANP,1987,
323,0.2073121636352533,23,ANP,1988,
324,0.1447582637329095,23,ANP,1989,
325,0.3297204597778312,23,ANP,1990,
326,0.2019606430053704,23,ANP,1991,
327,0.2010671815795892,23,ANP,1992,
328,0.2073184381103509,23,ANP,1993,
329,0.2546776567993156,23,ANP,1994,
330,0.2189430741577143,23,ANP,1995,
331,0.2529205366210935,23,ANP,1996,
332,0.249351471313476,23,ANP,1997,
333,0.1349388251342768,23,ANP,1998,
334,0.2305451142578119,23,ANP,1999,
335,0.1474458909301751,23,ANP,2000,
336,0.2823731244506829,23,ANP,2001,
337,0.1590564644775382,23,ANP,2002,
338,0.1465454035034173,23,ANP,2003,
339,0.1349345895385736,23,ANP,2004,
340,0.1036580350341791,23,ANP,2005,
341,0.1090233061523432,23,ANP,2006,
342,0.1170663569335932,23,ANP,2007,
343,0.1134908994750971,23,ANP,2008,
344,0.1233237424926752,23,ANP,2009,
345,0.1134960468749996,23,ANP,2010,
346,0.0947299865722652,23,ANP,2011,
347,0.1519220789794919,23,ANP,2012,
348,0.0786436250610348,23,ANP,2013,
349,0.061660690368652,23,ANP,2014,
350,0.058978276000976,23,ANP,2015,
351,0.0571887197265621,23,ANP,2016,
352,0.0554003284301755,23,ANP,2017,
353,0.0482537600708004,23,ANP,2018,
354,0.1867252576904292,23,ANP,2019,
355,0.1742573890991207,23,ANP,2020,
356,0.0679062701416011,23,ANP,2021,
357,0.058973468078613,23,ANP,2022,
358,0.0509304620971676,23,ANP,2023,
359,0.0661252675781247,23,ANP,2024,
360,0.0035698007812499,24,ANP,1986,
361,0.0035698007812499,24,ANP,1987,
362,0.0035698007812499,24,ANP,1988,
363,0.0035698007812499,24,ANP,1989,
364,0.0035698007812499,24,ANP,1990,
365,0.0035698007812499,24,ANP,1991,
366,0.0044617952880859,24,ANP,1992,
367,0.0044617952880859,24,ANP,1993,
368,0.0044617952880859,24,ANP,1994,
369,0.0044617952880859,24,ANP,1995,
370,0.0053537900390624,24,ANP,1996,
371,0.0053537900390624,24,ANP,1997,
372,0.0062457831420898,24,ANP,1998,
373,0.0062457831420898,24,ANP,1999,
374,0.0062457831420898,24,ANP,2000,
375,0.0062457831420898,24,ANP,2001,
376,0.0071377817382812,24,ANP,2002,
377,0.0071377817382812,24,ANP,2003,
378,0.0071377817382812,24,ANP,2004,
379,0.0080297762451171,24,ANP,2005,
380,0.0080297762451171,24,ANP,2006,
381,0.0098137478027343,24,ANP,2007,
382,0.0098137478027343,24,ANP,2008,
383,0.0107057409057617,24,ANP,2009,
384,0.0107057409057617,24,ANP,2010,
385,0.0107057409057617,24,ANP,2011,
386,0.0107057409057617,24,ANP,2012,
387,0.0107057409057617,24,ANP,2013,
388,0.0133817199707031,24,ANP,2014,
