territory,name,class,year,area
262,ANP,18,2007,0.044651799987792604
263,ANP,18,2008,0.040182249694824
264,ANP,18,2009,0.036624348144531096
265,ANP,18,2010,0.0348387055664061
266,ANP,18,2011,0.055368513000488
267,ANP,18,2012,0.0392974081420896
268,ANP,18,2013,0.04913988464355441
269,ANP,18,2014,0.082184981689453
270,ANP,18,2015,0.1760097201538085
271,ANP,18,2016,0.21083108154296848
272,ANP,18,2017,0.1348520763549802
273,ANP,18,2018,0.055377596923827904
274,ANP,18,2019,0.0526930290527341
275,ANP,18,2020,0.05090333441162108
276,ANP,18,2021,0.06251829553222639
277,ANP,18,2022,0.04020070751953119
278,ANP,18,2023,0.06697467474365221
279,ANP,18,2024,0.0491137306518553
280,ANP,21,1985,13.455203607421865
281,ANP,21,1986,11.949778842773451
282,ANP,21,1987,11.79052197631836
283,ANP,21,1988,12.296426643554696
284,ANP,21,1989,12.318348727111823
285,ANP,21,1990,12.360970333801276
286,ANP,21,1991,13.803640807983411
287,ANP,21,1992,13.45446266992189
288,ANP,21,1993,14.567051368408208
289,ANP,21,1994,14.389826074890145
290,ANP,21,1995,13.66147901446534
291,ANP,21,1996,13.298723351501453
292,ANP,21,1997,13.176828252380364
293,ANP,21,1998,12.997738714294453
294,ANP,21,1999,13.52542904382326
295,ANP,21,2000,13.221326699218775
296,ANP,21,2001,13.216721073486347
297,ANP,21,2002,12.844086886901863
298,ANP,21,2003,12.610858036987317
299,ANP,21,2004,12.405310413085946
300,ANP,21,2005,12.785919039916996
301,ANP,21,2006,12.524195101501476
302,ANP,21,2007,12.202385480102546
303,ANP,21,2008,12.370826213562006
304,ANP,21,2009,12.14007071563721
305,ANP,21,2010,12.841432307922378
306,ANP,21,2011,13.72887732092285
307,ANP,21,2012,14.467993722290045
308,ANP,21,2013,14.754931243896497
309,ANP,21,2014,15.345895208129892
310,ANP,21,2015,16.004639408752453
311,ANP,21,2016,16.321568645019532
312,ANP,21,2017,16.41174795983887
313,ANP,21,2018,16.657392866638183
314,ANP,21,2019,17.523344304016113
315,ANP,21,2020,16.821003439453126
316,ANP,21,2021,15.22840490527344
317,ANP,21,2022,14.446372002746584
318,ANP,21,2023,14.606675198486336
319,ANP,21,2024,13.765038629150405
320,ANP,23,1985,0.2788027173461905
321,ANP,23,1986,0.2788027173461905
322,ANP,23,1987,0.283259125732421
323,ANP,23,1988,0.20731216363525332
324,ANP,23,1989,0.14475826373290954
325,ANP,23,1990,0.3297204597778312
326,ANP,23,1991,0.20196064300537048
327,ANP,23,1992,0.20106718157958928
328,ANP,23,1993,0.20731843811035097
329,ANP,23,1994,0.25467765679931564
330,ANP,23,1995,0.2189430741577143
331,ANP,23,1996,0.2529205366210935
332,ANP,23,1997,0.24935147131347607
333,ANP,23,1998,0.1349388251342768
334,ANP,23,1999,0.23054511425781196
335,ANP,23,2000,0.1474458909301751
336,ANP,23,2001,0.28237312445068297
337,ANP,23,2002,0.1590564644775382
338,ANP,23,2003,0.14654540350341733
339,ANP,23,2004,0.13493458953857365
340,ANP,23,2005,0.10365803503417911
341,ANP,23,2006,0.10902330615234328
342,ANP,23,2007,0.11706635693359325
343,ANP,23,2008,0.11349089947509718
344,ANP,23,2009,0.12332374249267528
345,ANP,23,2010,0.1134960468749996
346,ANP,23,2011,0.0947299865722652
347,ANP,23,2012,0.1519220789794919
348,ANP,23,2013,0.07864362506103482
349,ANP,23,2014,0.06166069036865206
350,ANP,23,2015,0.058978276000976076
